ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Cantabria,2021,hombre,83.5,51.6,5.3,31.8,34.8,0.30000000000000004,8.0,33.125,0.8500000000000001,33.275,12.075,12.4,24303.0
Cantabria,2021,mujer,88.8,69.1,2.3,31.2,38.9,0.275,11.3,34.724999999999994,1.375,29.35,10.8,12.225,24303.0
Cantabria,2022,hombre,81.8,54.5,5.5,30.3,35.0,0.4,7.475,34.0,0.725,32.625,10.625,14.2,26506.0
Cantabria,2022,mujer,87.5,65.6,2.0,31.4,38.0,0.325,9.95,36.025,0.8999999999999999,30.4,10.025,12.375,26506.0
Castilla La Mancha,2014,hombre,67.2,44.3,5.1375,23.5,22.3,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,17480.0
Castilla La Mancha,2014,mujer,78.7,60.8,5.1375,23.2,24.5,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,17480.0
Castilla La Mancha,2015,hombre,69.5,45.9,5.0,24.0,21.7,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,18499.0
Castilla La Mancha,2015,mujer,81.7,64.1,2.7,23.4,25.6,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,18499.0
Castilla La Mancha,2016,hombre,62.2,46.4,7.5,22.9,21.9,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,19149.0
Castilla La Mancha,2016,mujer,75.7,62.7,3.3,22.5,23.4,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,19149.0
Castilla La Mancha,2017,hombre,66.9,45.9,8.4,21.6,22.8,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,20043.0
Castilla La Mancha,2017,mujer,79.2,62.5,3.8,21.7,25.2,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,20043.0
Castilla La Mancha,2018,hombre,67.4,45.6,7.9,22.1,20.8,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,20811.0
Castilla La Mancha,2018,mujer,79.0,62.9,3.6,20.9,22.7,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,20811.0
Castilla La Mancha,2019,hombre,77.9,51.8,8.6,21.1,19.5,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,21264.0
Castilla La Mancha,2019,mujer,88.1,70.0,4.0,20.9,22.4,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,21264.0
Castilla La Mancha,2020,hombre,71.9,43.3,9.4,26.1,28.7,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,19675.0
Castilla La Mancha,2020,mujer,82.4,60.5,4.4,26.4,31.8,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,19675.0
Castilla La Mancha,2021,hombre,69.9,47.9,8.3,23.2,24.9,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,21515.0
Castilla La Mancha,2021,mujer,79.3,63.7,3.7,23.6,28.4,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,21515.0
Castilla La Mancha,2022,hombre,72.5,46.8,7.5,22.8,25.1,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,24156.0
Castilla La Mancha,2022,mujer,81.4,63.7,3.9,25.0,27.5,1.6560185185185183,13.846296296296298,28.910339506172843,4.823611111111111,28.87260802469136,8.125462962962962,13.767052469135802,24156.0
Castilla y Leon,2014,hombre,75.5,52.5,5.1375,27.2,30.3,0.625,18.15,24.025,5.05,31.075,8.425,12.675,20694.0
Castilla y Leon,2014,mujer,85.7,67.8,5.1375,24.9,28.2,1.25,21.525,27.25,5.8,25.25,7.325,11.575,20694.0
Castilla y Leon,2015,hombre,77.9,56.5,5.5,27.9,29.4,0.8,17.5,24.0,4.725,32.2,8.35,12.425,21600.0
