ccaa,year,sexo,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general
Cataluña,2019,hombre,0.8500000000000001,12.425,32.3,3.6,30.625,7.7,12.524999999999999
Cataluña,2019,mujer,1.85,14.625,33.474999999999994,5.375,24.375,7.35,12.95
Cataluña,2020,hombre,0.8,11.225,32.275,3.5,31.35,8.425,12.425
Cataluña,2020,mujer,1.675,13.5,33.625,5.05,26.25,7.45,12.375
Cataluña,2021,hombre,1.1,10.925,32.575,3.6,30.475,8.35,12.925
Cataluña,2021,mujer,1.5,13.475,34.05,4.95,24.700000000000003,7.4,13.875
Cataluña,2022,hombre,1.125,11.149999999999999,33.45,3.175,29.225,8.675,13.225
Cataluña,2022,mujer,1.725,13.275,34.85,4.8,24.275,7.375,13.725
Cataluña,2023,hombre,0.875,11.125,34.325,2.825,28.6,8.325,13.95
Cataluña,2023,mujer,1.5,13.425,35.75,4.025,23.825,7.4,14.15
Cataluña,2024,hombre,0.75,10.6,35.35,2.425,28.1,8.375,14.4
Cataluña,2024,mujer,1.25,12.625,36.875,3.7249999999999996,23.85,7.225,14.4
Cataluña,2025,hombre,0.575,10.3,36.25,2.3,28.075,8.475,14.025
Cataluña,2025,mujer,1.55,11.85,38.675,3.725,22.225,8.05,13.85
Ceuta,2014,hombre,1.6749999999999998,14.95,16.925,6.65,33.775,5.625,20.45
Ceuta,2014,mujer,5.7,14.175,19.475,10.65,33.125,5.35,11.6
Ceuta,2015,hombre,1.85,15.45,23.725,4.75,30.95,5.15,18.125
Ceuta,2015,mujer,5.35,17.775,21.775,7.949999999999999,27.6,7.275,12.3
Ceuta,2016,hombre,1.775,17.875,24.1,3.05,30.45,4.75,18.0
Ceuta,2016,mujer,7.1,18.075000000000003,22.2,5.225,30.625,5.15,11.65
Ceuta,2017,hombre,2.35,16.375,22.65,2.4,33.95,4.1,18.175
Ceuta,2017,mujer,8.35,18.325,20.325,2.7,30.65,7.4,12.225
Ceuta,2018,hombre,1.8,15.225000000000001,20.2,2.8,36.375,5.925,17.65
Ceuta,2018,mujer,7.45,18.925,22.875,3.6,29.75,7.6499999999999995,9.675
Ceuta,2019,hombre,2.225,14.775,17.475,2.075,37.075,6.1,20.25
Ceuta,2019,mujer,6.75,21.175,20.85,2.725,27.775,6.95,13.75
Ceuta,2020,hombre,1.5,14.475,20.6,1.6,36.85,6.775,18.125
Ceuta,2020,mujer,4.725,20.6,22.6,2.475,27.35,6.55,15.65
Ceuta,2021,hombre,0.1,18.15,19.625,0.95,33.275,6.75,21.1
Ceuta,2021,mujer,4.175,16.75,23.525,1.275,29.4,6.525,18.375
Ceuta,2022,hombre,0.3,25.75,15.125,0.8250000000000001,35.8,5.775,16.5
Ceuta,2022,mujer,7.6,16.4,22.05,1.5250000000000001,31.6,6.3,14.55
Ceuta,2023,hombre,1.525,20.975,16.575,0.9750000000000001,40.925,7.025,12.0
Ceuta,2023,mujer,7.325,17.05,20.15,2.45,32.375,10.075,10.625
Ceuta,2024,hombre,1.975,16.525,28.35,0.7000000000000001,28.8,6.800000000000001,17.175
Ceuta,2024,mujer,4.574999999999999,11.8,30.675,2.9,29.975,7.025,13.125
Ceuta,2025,hombre,1.7,17.45,27.9,0.3333333333333333,29.575,6.1,17.075
Ceuta,2025,mujer,5.45,16.075,28.875,2.2,27.825,5.0,14.575
Comunidad Valenciana,2014,hombre,1.175,11.975,25.475,5.4,35.074999999999996,7.2,13.7
Comunidad Valenciana,2014,mujer,2.425,13.8,24.925,7.800000000000001,29.775,8.875,12.4
Comunidad Valenciana,2015,hombre,1.075,10.675,25.025,5.0,36.5,8.1,13.575
Comunidad Valenciana,2015,mujer,2.3,11.425,26.4,7.45,31.525,8.675,12.175
Comunidad Valenciana,2016,hombre,1.225,10.075,25.5,4.9,36.825,8.274999999999999,13.225
Comunidad Valenciana,2016,mujer,2.45,11.725,26.65,6.35,31.025,9.3,12.5
Comunidad Valenciana,2017,hombre,1.075,9.9,24.975,4.875,36.775,8.149999999999999,14.2
Comunidad Valenciana,2017,mujer,2.475,11.975,27.2,6.425,29.75,8.8,13.350000000000001
Comunidad Valenciana,2018,hombre,1.175,9.875,26.075000000000003,4.75,36.075,8.025,14.0
Comunidad Valenciana,2018,mujer,2.125,11.05,29.25,6.65,28.9,9.4,12.575
Comunidad Valenciana,2019,hombre,0.875,9.725,27.65,3.925,35.75,7.8,14.275
Comunidad Valenciana,2019,mujer,1.875,10.35,30.25,6.025,29.25,9.775,12.475
Comunidad Valenciana,2020,hombre,0.875,7.525,29.225,3.975,35.675,8.05,14.75
Comunidad Valenciana,2020,mujer,1.7,8.524999999999999,30.799999999999997,5.5249999999999995,29.275,10.075,14.0
Comunidad Valenciana,2021,hombre,0.925,7.675,30.2,3.25,34.8,8.55,14.65
Comunidad Valenciana,2021,mujer,1.775,9.15,31.0,4.9,30.025,9.675,13.475
Comunidad Valenciana,2022,hombre,1.0,7.575,29.0,3.35,36.775000000000006,9.1,13.225
Comunidad Valenciana,2022,mujer,1.775,9.125,31.025,4.85,32.3,9.5,11.375
Comunidad Valenciana,2023,hombre,0.85,7.65,29.8,3.65,36.025,10.075,11.975
Comunidad Valenciana,2023,mujer,1.6,9.025,31.700000000000003,5.45,31.25,9.225,11.8
Comunidad Valenciana,2024,hombre,1.05,6.975,29.275,3.45,35.9,9.825,13.525
Comunidad Valenciana,2024,mujer,1.425,8.55,31.325,5.6,30.725,9.35,13.05
Comunidad Valenciana,2025,hombre,1.0750000000000002,7.375,29.375,3.0,37.2,9.775,12.2
Comunidad Valenciana,2025,mujer,1.175,9.5,31.3,4.675,31.0,9.325,13.05
Extremadura,2014,hombre,2.225,12.825,19.45,10.325,39.875,5.775,9.549999999999999
Extremadura,2014,mujer,4.475,12.925,20.8,12.875,33.224999999999994,5.9,9.8
Extremadura,2015,hombre,1.9,12.725,19.375,9.65,40.975,5.675,9.65
Extremadura,2015,mujer,3.9,14.65,21.35,11.75,32.2,6.475,9.675
Extremadura,2016,hombre,1.7,13.75,17.375,9.524999999999999,41.375,5.85,10.45
Extremadura,2016,mujer,3.575,15.325,21.1,11.475,32.075,7.225,9.225
Extremadura,2017,hombre,1.9,11.775,19.175,9.675,41.3,5.525,10.7
Extremadura,2017,mujer,3.925,12.4,21.35,11.850000000000001,33.875,7.125,9.5
Extremadura,2018,hombre,2.175,14.0,18.45,9.35,38.75,7.2,10.05
Extremadura,2018,mujer,3.825,13.85,22.5,10.7,31.35,7.225,10.625
Extremadura,2019,hombre,2.225,14.425,18.025,8.525,38.825,7.05,10.95
Extremadura,2019,mujer,4.324999999999999,15.725000000000001,23.1,9.15,29.15,8.275,10.275
Extremadura,2020,hombre,1.825,14.1,18.475,7.675,38.275,8.125,11.525
Extremadura,2020,mujer,3.95,14.475,23.425,8.475,30.025,8.7,10.975
Extremadura,2021,hombre,1.925,13.225000000000001,20.3,7.375,37.275,8.15,11.825
Extremadura,2021,mujer,3.175,13.0,25.275,8.875,30.975,7.875,10.8
Extremadura,2022,hombre,1.7,12.4,21.625,6.75,38.175,8.0,11.4
Extremadura,2022,mujer,2.875,14.75,26.975,8.2,28.5,8.15,10.65
Extremadura,2023,hombre,1.5750000000000002,12.4,23.75,6.325,36.5,8.075,11.4
Extremadura,2023,mujer,2.8,13.9,28.5,7.6,27.849999999999998,8.425,10.95
Extremadura,2024,hombre,2.0,11.725,24.875,6.35,36.625,6.875,11.55
Extremadura,2024,mujer,2.675,13.525,28.875,7.6,28.175,7.575,11.625
Extremadura,2025,hombre,1.45,11.85,23.8,7.35,36.95,7.15,11.4
Extremadura,2025,mujer,2.3,12.125,28.95,8.1,28.95,7.8,11.725
Galicia,2014,hombre,0.8,17.625,24.0,5.1,34.075,7.175,11.3
Galicia,2014,mujer,1.85,21.425,25.6,8.4,26.7,6.025,10.0
Galicia,2015,hombre,0.9,16.675,25.2,5.5,32.925000000000004,7.25,11.525
Galicia,2015,mujer,1.6,19.650000000000002,26.725,8.9,26.35,6.300000000000001,10.5
Galicia,2016,hombre,0.775,15.425,25.325,5.6,33.825,7.5,11.575
