ccaa,year,sexo,tasabrutaFP_Media
Ceuta,2000,mujer,6.2
Ceuta,2001,hombre,6.2
Ceuta,2001,mujer,8.3
Ceuta,2002,hombre,7.6
Ceuta,2002,mujer,10.7
Ceuta,2003,hombre,7.2
Ceuta,2003,mujer,9.9
Ceuta,2004,hombre,6.3
Ceuta,2004,mujer,10.4
Ceuta,2005,hombre,3.7
Ceuta,2005,mujer,6.8
Ceuta,2006,hombre,7.7
Ceuta,2006,mujer,15.5
Ceuta,2007,hombre,6.2
Ceuta,2007,mujer,12.0
Ceuta,2008,hombre,6.0
Ceuta,2008,mujer,12.2
Ceuta,2009,hombre,6.0
Ceuta,2009,mujer,14.1
Ceuta,2010,hombre,12.6
Ceuta,2010,mujer,16.0
Ceuta,2011,hombre,19.3
Ceuta,2011,mujer,16.4
Ceuta,2012,hombre,22.8
Ceuta,2012,mujer,14.4
Ceuta,2013,hombre,20.6
Ceuta,2013,mujer,20.9
Ceuta,2014,hombre,21.6
Ceuta,2014,mujer,19.3
Ceuta,2015,hombre,19.2
Ceuta,2015,mujer,17.7
Ceuta,2016,hombre,23.0
Ceuta,2016,mujer,17.8
Ceuta,2017,hombre,19.7
Ceuta,2017,mujer,19.8
Ceuta,2018,hombre,19.8
Ceuta,2018,mujer,22.6
Ceuta,2019,hombre,17.0
Ceuta,2019,mujer,20.4
Ceuta,2020,hombre,20.7
Ceuta,2020,mujer,25.5
Ceuta,2021,hombre,28.5
Ceuta,2021,mujer,25.7
Ceuta,2022,hombre,23.2
Ceuta,2022,mujer,31.0
Comunidad Valenciana,1990,hombre,16.3
Comunidad Valenciana,1990,mujer,19.4
Comunidad Valenciana,1991,hombre,17.6
Comunidad Valenciana,1991,mujer,21.2
Comunidad Valenciana,1992,hombre,19.1
Comunidad Valenciana,1992,mujer,24.2
Comunidad Valenciana,1993,hombre,20.2
Comunidad Valenciana,1993,mujer,20.8
Comunidad Valenciana,1994,hombre,18.8
Comunidad Valenciana,1994,mujer,19.9
Comunidad Valenciana,1995,hombre,18.7
Comunidad Valenciana,1995,mujer,20.2
Comunidad Valenciana,1996,hombre,16.2
Comunidad Valenciana,1996,mujer,18.5
Comunidad Valenciana,1997,hombre,16.1
Comunidad Valenciana,1997,mujer,17.7
Comunidad Valenciana,1998,hombre,14.0
Comunidad Valenciana,1998,mujer,18.1
Comunidad Valenciana,1999,hombre,7.7
Comunidad Valenciana,1999,mujer,11.2
Comunidad Valenciana,2000,hombre,8.3
Comunidad Valenciana,2000,mujer,12.5
Comunidad Valenciana,2001,hombre,12.5
Comunidad Valenciana,2001,mujer,16.7
Comunidad Valenciana,2002,hombre,13.5
Comunidad Valenciana,2002,mujer,18.7
Comunidad Valenciana,2003,hombre,13.5
Comunidad Valenciana,2003,mujer,19.2
Comunidad Valenciana,2004,hombre,13.8
Comunidad Valenciana,2004,mujer,20.1
Comunidad Valenciana,2005,hombre,14.8
Comunidad Valenciana,2005,mujer,20.7
Comunidad Valenciana,2006,hombre,14.8
Comunidad Valenciana,2006,mujer,19.2
Comunidad Valenciana,2007,hombre,14.5
Comunidad Valenciana,2007,mujer,19.8
Comunidad Valenciana,2008,hombre,15.9
Comunidad Valenciana,2008,mujer,21.2
Comunidad Valenciana,2009,hombre,17.4
Comunidad Valenciana,2009,mujer,23.3
Comunidad Valenciana,2010,hombre,20.8
Comunidad Valenciana,2010,mujer,25.6
Comunidad Valenciana,2011,hombre,23.9
Comunidad Valenciana,2011,mujer,29.7
Comunidad Valenciana,2012,hombre,19.3
Comunidad Valenciana,2012,mujer,30.4
Comunidad Valenciana,2013,hombre,28.1
Comunidad Valenciana,2013,mujer,30.5
Comunidad Valenciana,2014,hombre,28.1
Comunidad Valenciana,2014,mujer,29.7
Comunidad Valenciana,2015,hombre,28.3
