ccaa,year,sexo,tasa_bruta_bach
Cataluña,1999,hombre,34.0
Cataluña,1999,mujer,49.1
Cataluña,2000,hombre,32.9
Cataluña,2000,mujer,49.6
Cataluña,2001,hombre,37.7
Cataluña,2001,mujer,54.5
Cataluña,2002,hombre,37.5
Cataluña,2002,mujer,54.5
Cataluña,2003,hombre,37.0
Cataluña,2003,mujer,52.4
Cataluña,2004,hombre,35.4
Cataluña,2004,mujer,51.2
Cataluña,2005,hombre,37.0
Cataluña,2005,mujer,53.2
Cataluña,2006,hombre,35.4
Cataluña,2006,mujer,50.0
Cataluña,2007,hombre,36.1
Cataluña,2007,mujer,50.0
Cataluña,2008,hombre,36.8
Cataluña,2008,mujer,51.3
Cataluña,2009,hombre,41.2
Cataluña,2009,mujer,56.6
Cataluña,2010,hombre,39.7
Cataluña,2010,mujer,53.4
Cataluña,2011,hombre,43.0
Cataluña,2011,mujer,57.0
Cataluña,2012,hombre,42.7
Cataluña,2012,mujer,57.5
Cataluña,2013,hombre,45.0
Cataluña,2013,mujer,60.6
Cataluña,2014,hombre,44.8
Cataluña,2014,mujer,59.3
Cataluña,2015,hombre,44.4
Cataluña,2015,mujer,60.5
Cataluña,2016,hombre,42.4
Cataluña,2016,mujer,59.0
Cataluña,2017,hombre,42.5
Cataluña,2017,mujer,58.7
Cataluña,2018,hombre,42.3
Cataluña,2018,mujer,59.4
Cataluña,2019,hombre,44.3
Cataluña,2019,mujer,62.4
Cataluña,2020,hombre,42.8
Cataluña,2020,mujer,60.0
Cataluña,2021,hombre,41.9
Cataluña,2021,mujer,58.0
Cataluña,2022,hombre,41.7
Cataluña,2022,mujer,58.2
Ceuta,1990,hombre,19.9
Ceuta,1990,mujer,27.7
Ceuta,1991,hombre,20.3
Ceuta,1991,mujer,24.8
Ceuta,1992,hombre,13.0
Ceuta,1992,mujer,19.3
Ceuta,1993,hombre,20.8
Ceuta,1993,mujer,22.5
Ceuta,1994,hombre,27.8
Ceuta,1994,mujer,36.6
Ceuta,1995,hombre,22.5
Ceuta,1995,mujer,33.8
Ceuta,1996,hombre,26.6
Ceuta,1996,mujer,28.6
Ceuta,1997,hombre,29.2
Ceuta,1997,mujer,31.8
Ceuta,1998,hombre,28.9
Ceuta,1998,mujer,37.7
Ceuta,1999,hombre,16.9
Ceuta,1999,mujer,29.3
Ceuta,2000,hombre,32.1
Ceuta,2000,mujer,33.6
Ceuta,2001,hombre,28.2
Ceuta,2001,mujer,37.0
Ceuta,2002,hombre,21.4
Ceuta,2002,mujer,27.6
Ceuta,2003,hombre,23.2
Ceuta,2003,mujer,34.2
Ceuta,2004,hombre,26.9
Ceuta,2004,mujer,34.7
Ceuta,2005,hombre,23.5
Ceuta,2005,mujer,37.1
Ceuta,2006,hombre,25.5
Ceuta,2006,mujer,32.7
Ceuta,2007,hombre,29.1
Ceuta,2007,mujer,32.1
Ceuta,2008,hombre,22.5
Ceuta,2008,mujer,32.3
Ceuta,2009,hombre,31.3
Ceuta,2009,mujer,35.2
Ceuta,2010,hombre,27.8
Ceuta,2010,mujer,34.5
Ceuta,2011,hombre,28.9
Ceuta,2011,mujer,38.2
Ceuta,2012,hombre,33.9
Ceuta,2012,mujer,43.8
Ceuta,2013,hombre,37.5
Ceuta,2013,mujer,40.6
Ceuta,2014,hombre,35.1
Ceuta,2014,mujer,39.7
Ceuta,2015,hombre,38.6
Ceuta,2015,mujer,51.0
Ceuta,2016,hombre,35.5
Ceuta,2016,mujer,45.6
Ceuta,2017,hombre,30.0
Ceuta,2017,mujer,46.4
Ceuta,2018,hombre,32.4
Ceuta,2018,mujer,51.9
Ceuta,2019,hombre,44.7
Ceuta,2019,mujer,63.4
Ceuta,2020,hombre,33.5
Ceuta,2020,mujer,47.5
Ceuta,2021,hombre,34.8
Ceuta,2021,mujer,42.8
Ceuta,2022,hombre,30.9
Ceuta,2022,mujer,53.3
Comunidad Valenciana,1990,hombre,25.9
Comunidad Valenciana,1990,mujer,32.7
Comunidad Valenciana,1991,hombre,27.2
Comunidad Valenciana,1991,mujer,36.1
Comunidad Valenciana,1992,hombre,29.7
Comunidad Valenciana,1992,mujer,36.0
Comunidad Valenciana,1993,hombre,27.0
Comunidad Valenciana,1993,mujer,37.6
Comunidad Valenciana,1994,hombre,27.8
Comunidad Valenciana,1994,mujer,37.4
Comunidad Valenciana,1995,hombre,28.1
Comunidad Valenciana,1995,mujer,39.6
Comunidad Valenciana,1996,hombre,28.1
Comunidad Valenciana,1996,mujer,37.0
Comunidad Valenciana,1997,hombre,32.9
Comunidad Valenciana,1997,mujer,47.5
Comunidad Valenciana,1998,hombre,32.7
Comunidad Valenciana,1998,mujer,48.7
Comunidad Valenciana,1999,hombre,32.6
Comunidad Valenciana,1999,mujer,47.3
Comunidad Valenciana,2000,hombre,34.3
Comunidad Valenciana,2000,mujer,49.8
Comunidad Valenciana,2001,hombre,35.3
Comunidad Valenciana,2001,mujer,51.9
Comunidad Valenciana,2002,hombre,32.1
Comunidad Valenciana,2002,mujer,51.1
Comunidad Valenciana,2003,hombre,30.5
Comunidad Valenciana,2003,mujer,48.7
Comunidad Valenciana,2004,hombre,30.5
Comunidad Valenciana,2004,mujer,47.9
Comunidad Valenciana,2005,hombre,31.1
Comunidad Valenciana,2005,mujer,48.1
Comunidad Valenciana,2006,hombre,31.7
Comunidad Valenciana,2006,mujer,47.6
Comunidad Valenciana,2007,hombre,32.6
Comunidad Valenciana,2007,mujer,48.2
Comunidad Valenciana,2008,hombre,32.8
Comunidad Valenciana,2008,mujer,48.4
Comunidad Valenciana,2009,hombre,34.7
Comunidad Valenciana,2009,mujer,50.3
Comunidad Valenciana,2010,hombre,37.6
Comunidad Valenciana,2010,mujer,53.1
Comunidad Valenciana,2011,hombre,40.3
Comunidad Valenciana,2011,mujer,54.7
Comunidad Valenciana,2012,hombre,41.4
Comunidad Valenciana,2012,mujer,55.9
Comunidad Valenciana,2013,hombre,41.8
Comunidad Valenciana,2013,mujer,57.8
Comunidad Valenciana,2014,hombre,42.0
Comunidad Valenciana,2014,mujer,58.5
Comunidad Valenciana,2015,hombre,44.7
Comunidad Valenciana,2015,mujer,59.5
Comunidad Valenciana,2016,hombre,43.2
Comunidad Valenciana,2016,mujer,57.4
Comunidad Valenciana,2017,hombre,43.0
Comunidad Valenciana,2017,mujer,58.6
Comunidad Valenciana,2018,hombre,41.6
Comunidad Valenciana,2018,mujer,57.6
