ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Aragon,hombre,Analfabetos,2016,0.6749999999999999
Aragon,hombre,Educación primaria,2016,15.65
Aragon,hombre,Educación superior,2016,27.675
Aragon,hombre,Estudios primarios incompletos,2016,4.025
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2016,27.2
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2016,9.65
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2016,15.15
Aragon,mujer,Analfabetos,2016,0.875
Aragon,mujer,Educación primaria,2016,17.725
Aragon,mujer,Educación superior,2016,28.8
Aragon,mujer,Estudios primarios incompletos,2016,5.2
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2016,24.325000000000003
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2016,9.225000000000001
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2016,13.85
Aragon,hombre,Analfabetos,2017,0.625
Aragon,hombre,Educación primaria,2017,15.05
Aragon,hombre,Educación superior,2017,27.875
Aragon,hombre,Estudios primarios incompletos,2017,3.175
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2017,28.775
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2017,10.275
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2017,14.275
Aragon,mujer,Analfabetos,2017,1.05
Aragon,mujer,Educación primaria,2017,18.1
Aragon,mujer,Educación superior,2017,28.525
Aragon,mujer,Estudios primarios incompletos,2017,4.1
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2017,25.15
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2017,9.55
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2017,13.525
Aragon,hombre,Analfabetos,2018,0.75
Aragon,hombre,Educación primaria,2018,14.2
Aragon,hombre,Educación superior,2018,28.675
Aragon,hombre,Estudios primarios incompletos,2018,3.425
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2018,29.175
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2018,10.325
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2018,13.45
Aragon,mujer,Analfabetos,2018,0.7
