Comunidad autónoma	Sexo	periodo	Total
Melilla	HOMBRES	2019-20	62,7
Melilla	HOMBRES	2018-19	50,1
Melilla	HOMBRES	2017-18	49,0
Melilla	HOMBRES	2016-17	50,0
Melilla	MUJERES	2021-22	74,1
Melilla	MUJERES	2020-21	66,1
Melilla	MUJERES	2019-20	74,4
Melilla	MUJERES	2018-19	71,9
Melilla	MUJERES	2017-18	62,1
Melilla	MUJERES	2016-17	60,8
