Comunidades y Ciudades Autónomas	Sexo	Nivel de formación alcanzado	Periodo	Total
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T3	8,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T2	8,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T1	8,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T4	8,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T3	8,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T2	8,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T1	8,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T4	7,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T3	8,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T2	7,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T1	8,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T4	8,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T3	7,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T2	8,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T1	8,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T4	7,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T3	7,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T2	7,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T1	7,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T4	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T3	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T2	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T1	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T4	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T3	7,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T2	7,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T1	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T4	7,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T3	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T2	6,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T1	6,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T4	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T3	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T2	7,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T1	6,8
01 Andalucía	Hombres	Educación superior	2025T4	28,5
01 Andalucía	Hombres	Educación superior	2025T3	28,5
01 Andalucía	Hombres	Educación superior	2025T2	27,2
01 Andalucía	Hombres	Educación superior	2025T1	27,1
01 Andalucía	Hombres	Educación superior	2024T4	27,3
01 Andalucía	Hombres	Educación superior	2024T3	26,8
01 Andalucía	Hombres	Educación superior	2024T2	26,8
01 Andalucía	Hombres	Educación superior	2024T1	27,0
01 Andalucía	Hombres	Educación superior	2023T4	28,1
01 Andalucía	Hombres	Educación superior	2023T3	27,5
01 Andalucía	Hombres	Educación superior	2023T2	26,8
01 Andalucía	Hombres	Educación superior	2023T1	26,8
01 Andalucía	Hombres	Educación superior	2022T4	26,4
01 Andalucía	Hombres	Educación superior	2022T3	26,6
01 Andalucía	Hombres	Educación superior	2022T2	26,2
01 Andalucía	Hombres	Educación superior	2022T1	26,1
01 Andalucía	Hombres	Educación superior	2021T4	26,2
01 Andalucía	Hombres	Educación superior	2021T3	26,3
01 Andalucía	Hombres	Educación superior	2021T2	26,1
01 Andalucía	Hombres	Educación superior	2021T1	25,8
01 Andalucía	Hombres	Educación superior	2020T4	25,4
01 Andalucía	Hombres	Educación superior	2020T3	25,0
01 Andalucía	Hombres	Educación superior	2020T2	24,6
01 Andalucía	Hombres	Educación superior	2020T1	23,9
01 Andalucía	Hombres	Educación superior	2019T4	23,8
01 Andalucía	Hombres	Educación superior	2019T3	24,1
01 Andalucía	Hombres	Educación superior	2019T2	23,6
01 Andalucía	Hombres	Educación superior	2019T1	23,7
01 Andalucía	Hombres	Educación superior	2018T4	23,6
01 Andalucía	Hombres	Educación superior	2018T3	24,1
01 Andalucía	Hombres	Educación superior	2018T2	23,5
01 Andalucía	Hombres	Educación superior	2018T1	22,9
01 Andalucía	Hombres	Educación superior	2017T4	23,3
01 Andalucía	Hombres	Educación superior	2017T3	23,1
01 Andalucía	Hombres	Educación superior	2017T2	22,3
01 Andalucía	Hombres	Educación superior	2017T1	22,3
01 Andalucía	Hombres	Educación superior	2016T4	22,6
01 Andalucía	Hombres	Educación superior	2016T3	22,6
01 Andalucía	Hombres	Educación superior	2016T2	21,9
01 Andalucía	Hombres	Educación superior	2016T1	22,2
01 Andalucía	Hombres	Educación superior	2015T4	21,9
01 Andalucía	Hombres	Educación superior	2015T3	21,5
01 Andalucía	Hombres	Educación superior	2015T2	21,7
01 Andalucía	Hombres	Educación superior	2015T1	21,6
01 Andalucía	Hombres	Educación superior	2014T4	21,7
01 Andalucía	Hombres	Educación superior	2014T3	21,0
01 Andalucía	Hombres	Educación superior	2014T2	20,6
01 Andalucía	Hombres	Educación superior	2014T1	21,2
01 Andalucía	Mujeres	Analfabetos	2025T4	2,5
01 Andalucía	Mujeres	Analfabetos	2025T3	2,4
01 Andalucía	Mujeres	Analfabetos	2025T2	2,6
01 Andalucía	Mujeres	Analfabetos	2025T1	2,5
01 Andalucía	Mujeres	Analfabetos	2024T4	2,5
